,Shed,Concretehouse,Cementroad,Dirtroad,Reinforcedslope,Reinforcedscarp,Dam,Vegetablefield,Grassland,Dryland,Woodland,Bareland,Waterline,Ditch,Others
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_8/Area_8_3,2046,0,26504,0,24969,0,0,0,296064,0,12620,30571,116122,0,2392
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_8/Area_8_1,587306,0,3622,96194,0,0,0,0,65879,0,0,145,0,0,33315
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_8/Area_8_2,283723,0,30369,67320,0,0,0,0,104455,0,0,87740,0,0,93884
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_10/Area_10_3,21524,116300,151310,0,0,0,0,0,22420,0,67215,13267,21,0,44828
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_10/Area_10_1,157643,4403,96235,0,0,0,0,0,60461,0,578033,6285,0,0,56785
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_10/Area_10_4,11168,55781,104586,0,20394,0,0,0,119826,0,246702,140121,208653,0,28054
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_10/Area_10_2,25401,165978,133953,8114,0,0,0,0,124994,0,37966,70900,3229,0,73905
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_3/Area_3_1,0,0,15108,0,15737,0,0,0,537966,0,0,94267,66956,0,5918
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_3/Area_3_2,0,0,120128,0,9580,0,0,0,246585,0,0,99200,53772,0,92877
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_3/Area_3_3,24019,17097,73414,0,0,0,0,0,201797,0,103007,110570,0,0,17019
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_3/Area_3_4,13583,13063,155772,0,0,0,0,0,257037,0,90119,226648,0,0,76428
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_12/Area_12_3,36692,73746,159866,0,0,0,0,0,28772,0,180118,11632,0,0,324658
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_12/Area_12_2,5689,23993,64110,0,0,0,0,0,115185,0,131270,17577,76866,0,182786
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_12/Area_12_1,0,17990,102993,0,0,0,0,0,55303,0,238368,29717,56745,0,266360
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_12/Area_12_4,21183,10728,66642,0,0,0,0,0,150953,0,118871,31635,18529,0,58694
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_5/Area_5_3,8673,46664,64664,0,0,0,0,5549,80876,1934,111915,0,0,0,79449
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_5/Area_5_4,7709,55175,32697,0,3025,0,0,59070,14753,15062,297028,0,0,0,52983
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_5/Area_5_2,29027,92170,102829,0,12311,0,0,21943,54009,33010,53427,0,0,0,96302
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_5/Area_5_1,0,410640,105120,0,0,0,0,0,19667,0,10411,0,0,0,46060
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_11/Area_11_3,281874,19186,132637,0,0,0,0,0,0,0,65788,0,0,0,27981
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_11/Area_11_1,0,0,40924,0,0,0,0,0,27872,0,90992,31962,0,0,246314
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_11/Area_11_2,347918,38551,185080,0,0,0,0,0,23209,0,157738,0,0,0,111117
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_1/Area_1_2,261748,139099,231615,0,0,0,0,5298,192032,0,245370,2466,0,0,84456
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_1/Area_1_1,50058,244627,221664,0,0,0,0,35410,25650,0,155864,0,0,0,72525
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_1/Area_1_4,270222,14212,149693,0,9402,0,0,0,37939,0,25446,103087,71646,0,136253
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_1/Area_1_3,264256,42873,192910,0,10378,0,0,0,117799,0,129885,32915,68703,0,123219
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_7/Area_7_1,301228,0,121866,0,33005,0,0,3453,399334,9566,28528,21914,81033,0,75782
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_7/Area_7_3,234201,7426,53170,0,0,0,0,0,4530,0,31791,0,0,0,44397
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_7/Area_7_2,395277,0,112687,0,0,0,0,0,29572,0,48434,0,0,0,47384
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_4/Area_4_1,620481,0,176200,0,25128,0,0,0,226710,0,29871,33567,68741,0,58043
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_4/Area_4_4,68622,215912,196128,0,11117,0,0,8070,140792,6748,240232,13859,33750,0,58851
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_4/Area_4_3,3436,90403,174624,0,22433,0,0,1509,270457,0,38508,34629,70873,0,128749
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_4/Area_4_2,611694,0,58217,0,0,0,0,0,8344,0,11664,0,0,0,20728
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_9/Area_9_4,32312,9283,22451,1527,8134,0,0,0,16523,0,144723,29479,58188,0,17096
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_9/Area_9_3,66097,16743,23906,32409,0,0,0,0,26817,0,184235,5825,0,0,24353
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_9/Area_9_2,26365,18211,60480,40586,0,0,0,0,56102,0,0,102912,0,0,40322
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_9/Area_9_1,33647,47573,96445,64693,0,0,0,0,39351,0,4051,101815,0,0,41096
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_6/Area_6_4,0,0,32334,0,17600,0,0,11852,177444,7399,26751,12116,43885,0,34497
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_6/Area_6_1,0,300101,105333,0,0,0,0,0,35223,0,10359,0,0,0,26040
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_6/Area_6_2,0,266060,105140,0,0,0,0,0,7332,0,35965,0,0,0,17890
/data/Zhong_Shui/Pro_Data_preprocess/Work_3/Area_6/Area_6_3,0,193671,65201,0,0,0,0,0,30425,0,12749,0,0,0,17225
